Amount,AmountOfSecurityOwned,CIK,OwnershipForm,Price,SecuritiesAcquirednDisposed,TitleOfSecurity,TransactionCode,TransactionDate
"6,642","82,575",1750019,I,16.4714,D,Common Stock,S,12/19/2019
"35,323","155,986",1750019,I,16.4714,D,Common Stock,S,12/19/2019
"586,153","713,723",1750019,I,0,D,Common Stock,J,12/20/2019
"13,847","161,024",1750019,I,0,D,Common Stock,J,12/20/2019
,"361,665",1750019,I,,,Common Stock,,
,"432,319",1750019,I,,,Common Stock,,
,"330,238",1750019,I,,,Common Stock,,
"2,437","17,556",1777936,D,30.35,A,Common Stock,M,12/19/2019
842,"16,714",1777936,D,30.35,D,Common Stock,F,12/19/2019
,"1,384",1777936,I,,,Common Stock,,
"135,300","4,151,912",1200461,I,5.4568,D,Common Stock,S,12/18/2019
,"754,316",1200461,I,,,Common Stock,,
,"15,166,858",1200461,D,,,Common Stock,,
"3,093","6,169",1606088,D,0,A,Class A Common Stock,A,12/19/2019
"1,699","55,805",1469367,D,14.5888,D,Common Stock,S,12/19/2019
"3,136","44,250",1469367,D,14.55,D,Common Stock,S,12/19/2019
"22,300","12,080,155",351834,I,2.4299,A,Common Stock,P,12/19/2019
"25,000","12,105,155",351834,I,2.4299,A,Common Stock,P,12/19/2019
"5,098","89,643",1514705,D,0,A,Common Stock,A,12/18/2019
"249,064","2,102,224",1297857,D,0,A,Common Stock,A,12/18/2019
"40,000","60,000",1769077,D,0,A,Class A Common Stock,A,12/11/2019
"29,114","99,176",1487805,D,16.64,A,Common Stock,M,12/20/2019
"15,000","84,176",1487805,D,16.62,D,Common Stock,S,12/20/2019
13.9121,"3,793.25",1708297,D,35.94,A,ACNB Corporation Common,P,12/13/2019
"10,000","10,000",1591210,D,7.1,A,Common Stock,P,12/19/2019
159.9889,"36,084.28",1343134,D,35.94,A,ACNB Corporation Common,A,12/13/2019
,"37,799",1343134,I,,,ACNB Corporation Common,,
"3,375","3,375",1785732,D,0,A,Common Shares,M,12/18/2019
"1,531","1,844",1785732,D,52.13,D,Common Shares,F,12/18/2019
,"7,601",1343134,I,,,ACNB Corporation Common,,
705,"74,757",1576942,D,25.63,D,Class A Common Stock,F,12/18/2019
"3,093","6,169",1576942,D,0,A,Class A Common Stock,A,12/19/2019
,"17,533",1576942,I,,,Class A Common Stock,,
"2,669","54,028",1576942,D,25.63,D,Class A Common Stock,F,12/18/2019
"36,298","36,298",1576942,I,0,A,Class A Common Stock,C,12/19/2019
"36,298",0,1576942,I,0,D,Class A Common Stock,G,12/19/2019
"10,241","40,930",1681908,D,16.64,A,Common Stock,M,12/20/2019
"1,297","185,222",1673606,D,151.54,D,Common Stock,S,12/20/2019
"2,632","215,068.97",1412502,D,0,D,Common Shares,G,12/19/2019
"1,394","9,394",1746277,D,0,A,Class A common stock,C,12/18/2019
"39,011","48,405",1746277,D,0,A,Class A common stock,C,12/18/2019
"91,574","139,979",1746277,D,0,A,Class A common stock,C,12/18/2019
"341,196","481,175",1746277,D,0,A,Class A common stock,C,12/18/2019
"473,175","8,000",1746277,D,6.5543,D,Class A common stock,S,12/19/2019
300,"15,542.74",1692115,D,76.5383,D,Common Stock,S,12/20/2019
,"4,954.12",1692115,I,,,Common Stock,,
500,"156,112",1499453,D,23.0821,D,Common Stock,S,12/18/2019
,32.071,1692115,I,,,Common Stock,,
500,"304,540",1499453,D,23.0505,D,Common Stock,S,12/18/2019
"35,715","74,008",1545197,D,0,A,Common Stock,A,12/18/2019
"23,256","189,724",1615444,D,0,A,Common Stock,A,12/18/2019
,"14,049",1615444,I,,,Common Stock,,
"31,513","2,400,304",1564408,D,15.05,D,Class A Common Stock,S,12/19/2019
"2,853","10,872",1645738,D,0,A,Common Stock,A,12/18/2019
"31,108","2,215,261",1564408,D,15.05,D,Class A Common Stock,S,12/19/2019
"99,945",0,1309776,D,,D,Common Stock,D,12/20/2019
264,"30,834",1510427,D,11.4,D,Common Stock,G,11/26/2019
"35,715","35,715",1529628,D,0,A,,A,12/18/2019
"35,715","10,884,730",1529628,I,0,A,,A,12/18/2019
"35,715","35,715",1529628,D,0,A,,A,12/18/2019
"35,715","82,569",1529628,D,0,A,Common Stock,A,12/18/2019
"71,430","10,920,445",1529628,I,0,A,,A,12/18/2019
"35,715","1,152,982",1529628,D,0,A,Common Stock,A,12/18/2019
"119,047","301,041",1529628,D,0,A,Common Stock,A,12/18/2019
"79,365","203,996",1529628,D,0,A,Common Stock,A,12/18/2019
,"448,738",1529628,I,,,Common Stock,,
"2,300","161,147",1764925,D,21.09,D,Class A Common Stock,S,12/18/2019
200,"160,947",1764925,D,21.4,D,Class A Common Stock,S,12/18/2019
"1,045","159,955",1764925,I,20.98,D,Class A Common Stock,S,12/18/2019
455,"159,500",1764925,I,21.31,D,Class A Common Stock,S,12/18/2019
"9,973","333,608",1742587,D,61.6144,D,Common Stock,S,12/18/2019
825,"332,783",1742587,D,62.4879,D,Common Stock,S,12/18/2019
"1,702","331,081",1742587,D,63.3141,D,Common Stock,S,12/18/2019
912,"15,364",1650729,D,5.5,A,Common Stock,M,12/18/2019
912,"14,452",1650729,D,88.33,D,Common Stock,S,12/18/2019
"9,088","23,540",1650729,D,5.5,A,Common Stock,M,12/18/2019
"9,088","14,452",1650729,D,88.54,D,Common Stock,S,12/18/2019
"195,888","810,889",1777164,D,28.035,D,Class A Common Stock,S,12/18/2019
"192,831","618,058",1777164,D,28.48,D,Class A Common Stock,S,12/19/2019
,"2,987,331",1777164,D,,,Class A Common Stock,,
"195,888","810,889",1777164,D,28.035,D,Class A Common Stock,S,12/18/2019
"192,831","618,058",1777164,D,28.48,D,Class A Common Stock,S,12/19/2019
,"2,987,331",1777164,D,,,Class A Common Stock,,
159.9889,"29,784.26",1491265,D,35.94,A,ACNB Corporation Common,A,12/13/2019
,"1,500",1491265,I,,,ACNB Corporation Common,,
,26,1491265,I,,,ACNB Corporation Common,,
,"1,656.56",1491265,I,,,ACNB Corporation Common,,
"7,628","89,410",1397702,D,4.73,A,Common Stock,M,12/18/2019
,"13,518",1397702,I,,,Common Stock,,
242,"98,503",1328855,D,26.02,D,Common Units,F,12/20/2019
"5,137",0,1527033,D,,D,Common Stock,D,12/20/2019
"8,205","138,898",1611148,D,19.1295,D,Common Stock,S,12/18/2019
"8,990","8,990",1527033,D,,A,Common Stock,A,12/20/2019
"14,483","23,473",1527033,D,,A,Common Stock,A,12/20/2019
"3,477","95,647",1468666,D,14.9,D,Class A Common Stock,F,12/19/2019
"5,000","720,666",1137789,I,59.1025,D,Ordinary Shares,S,12/18/2019
79.9944,"18,200.79",1710898,D,35.94,A,ACNB Corporation Common,A,12/13/2019
,"10,292.48",1710898,I,,,ACNB Corporation Common,,
"1,808","176,970",1463486,D,12.93,D,Common Stock,F,12/18/2019
,"25,820",1463486,I,,,Common Stock,,
"10,601","99,273",1527449,D,0,A,Common Stock,A,12/18/2019
"5,408","93,865",1527449,D,7.83,D,Common Stock,F,12/18/2019
,"69,872",1742271,D,,,Common Stock,,
"5,000","64,872",1742271,D,50,D,Common Stock,S,12/20/2019
,"226,460",1742271,I,,,Common Stock,,
"5,000","221,460",1742271,I,50,D,Common Stock,S,12/20/2019
,,1702287,10/29/2025,"19,000",,Employee Stock Option (right to buy),,13.62
,,1702287,12/17/2026,,"12,667",Employee Stock Option (right to buy),,2.45
,,1702287,3/15/2026,"5,000",,Employee Stock Option (right to buy),,9.89
,,1702287,12/17/2026,,"3,333",Employee Stock Option (right to buy),,2.45
,,1702287,8/31/2026,"20,000",,Employee Stock Option (right to buy),,11.11
,,1702287,12/17/2026,,"13,333",Employee Stock Option (right to buy),,2.45
,,1702287,3/30/2027,"55,000",,Employee Stock Option (right to buy),,7.8
,,1702287,12/17/2026,,"32,592",Employee Stock Option (right to buy),,2.45
,,1702287,12/17/2026,,"4,075",Employee Stock Option (right to buy),,2.45
,3/8/2020,1329851,3/8/2020,,82.82,Restricted Stock Units,,0
,3/7/2021,1329851,3/7/2021,,82.18,Restricted Stock Units,,0
,4/4/2022,1329851,4/4/2022,,98.22,Restricted Stock Units,,0
639,639,1597141,D,0,A,Common Stock,A,12/20/2019
"23,000","500,653",1397362,D,0.5125,A,Common Stock,M,12/19/2019
957,"499,696",1397362,D,12.31,D,Common Stock,F,12/19/2019
"3,891","11,616",1710351,D,,A,Class A Common Stock,M,12/18/2019
"75,000","191,395",1704710,D,0,A,Common Stock,A,12/20/2019
"5,308","72,805",1010612,D,29.36,A,Common Stock,M,12/19/2019
"4,192","68,613",1010612,D,37.18,D,Common Stock,D,12/19/2019
440,"68,173",1010612,D,37.18,D,Common Stock,F,12/19/2019
"5,308","73,481",1010612,D,29.36,A,Common Stock,M,12/19/2019
"4,192","69,289",1010612,D,37.18,D,Common Stock,D,12/19/2019
440,"68,849",1010612,D,37.18,D,Common Stock,F,12/19/2019
"4,044","66,699",1010612,D,19.77,A,Common Stock,M,12/19/2019
"2,151","64,548",1010612,D,37.18,D,Common Stock,D,12/19/2019
746,"63,802",1010612,D,37.18,D,Common Stock,F,12/19/2019
"4,044","67,846",1010612,D,19.77,A,Common Stock,M,12/19/2019
"2,151","65,695",1010612,D,37.18,D,Common Stock,D,12/19/2019
746,"64,949",1010612,D,37.18,D,Common Stock,F,12/19/2019
"4,044","68,993",1010612,D,19.77,A,Common Stock,M,12/19/2019
"2,151","66,842",1010612,D,37.18,D,Common Stock,D,12/19/2019
746,"66,096",1010612,D,37.18,D,Common Stock,F,12/19/2019
"3,126","61,240",1010612,D,18.67,A,Common Stock,M,12/19/2019
"1,570","59,670",1010612,D,37.18,D,Common Stock,D,12/19/2019
613,"59,057",1010612,D,37.18,D,Common Stock,F,12/19/2019
"4,964","73,813",1010612,D,28.15,A,Common Stock,M,12/19/2019
"3,759","70,054",1010612,D,37.18,D,Common Stock,D,12/19/2019
"4,789","65,732",1010612,D,15.25,A,Common Stock,M,12/19/2019
"1,965","63,767",1010612,D,37.18,D,Common Stock,D,12/19/2019
"3,127","62,184",1010612,D,18.67,A,Common Stock,M,12/19/2019
"1,571","60,613",1010612,D,37.18,D,Common Stock,D,12/19/2019
613,"60,000",1010612,D,37.18,D,Common Stock,F,12/19/2019
"3,127","63,127",1010612,D,18.67,A,Common Stock,M,12/19/2019
"1,571","61,556",1010612,D,37.18,D,Common Stock,D,12/19/2019
475,"69,579",1010612,D,37.18,D,Common Stock,F,12/19/2019
"1,112","62,655",1010612,D,37.18,D,Common Stock,F,12/19/2019
613,"60,943",1010612,D,37.18,D,Common Stock,F,12/19/2019
"4,179","70,275",1010612,D,30.32,A,Common Stock,M,12/19/2019
"3,408","66,867",1010612,D,37.18,D,Common Stock,D,12/19/2019
304,"66,563",1010612,D,37.18,D,Common Stock,F,12/19/2019
"4,179","70,742",1010612,D,30.32,A,Common Stock,M,12/19/2019
"3,408","67,334",1010612,D,37.18,D,Common Stock,D,12/19/2019
304,"67,030",1010612,D,37.18,D,Common Stock,F,12/19/2019
"4,180","71,210",1010612,D,30.32,A,Common Stock,M,12/19/2019
"3,409","67,801",1010612,D,37.18,D,Common Stock,D,12/19/2019
304,"67,497",1010612,D,37.18,D,Common Stock,F,12/19/2019
"4,243","10,944",1010612,D,28.15,A,Common Stock,M,12/19/2019
"3,213","7,731",1010612,D,37.18,D,Common Stock,D,12/19/2019
354,"7,377",1010612,D,37.18,D,Common Stock,F,12/19/2019
"4,537","9,986",1010612,D,29.36,A,Common Stock,M,12/19/2019
"3,583","6,403",1010612,D,37.18,D,Common Stock,D,12/19/2019
328,"6,075",1010612,D,37.18,D,Common Stock,F,12/19/2019
"4,537","10,612",1010612,D,29.36,A,Common Stock,M,12/19/2019
"3,583","7,029",1010612,D,37.18,D,Common Stock,D,12/19/2019
328,"6,701",1010612,D,37.18,D,Common Stock,F,12/19/2019
"3,572","7,725",1010612,D,30.32,A,Common Stock,M,12/19/2019
"2,913","4,812",1010612,D,37.18,D,Common Stock,D,12/19/2019
227,"4,585",1010612,D,37.18,D,Common Stock,F,12/19/2019
"3,572","8,157",1010612,D,30.32,A,Common Stock,M,12/19/2019
"2,913","5,244",1010612,D,37.18,D,Common Stock,D,12/19/2019
227,"5,017",1010612,D,37.18,D,Common Stock,F,12/19/2019
"3,573","8,385",1010612,D,30.32,A,Common Stock,M,12/19/2019
"2,914","5,471",1010612,D,37.18,D,Common Stock,D,12/19/2019
227,"5,244",1010612,D,37.18,D,Common Stock,F,12/19/2019
"3,198","5,302",1010612,D,25.06,A,Common Stock,M,12/19/2019
"2,156","3,146",1010612,D,37.18,D,Common Stock,D,12/19/2019
359,"2,787",1010612,D,37.18,D,Common Stock,F,12/19/2019
"3,198","5,985",1010612,D,25.06,A,Common Stock,M,12/19/2019
"2,156","3,829",1010612,D,37.18,D,Common Stock,D,12/19/2019
359,"3,470",1010612,D,37.18,D,Common Stock,F,12/19/2019
"3,198","6,668",1010612,D,25.06,A,Common Stock,M,12/19/2019
"2,156","4,512",1010612,D,37.18,D,Common Stock,D,12/19/2019
359,"4,153",1010612,D,37.18,D,Common Stock,F,12/19/2019
461,"119,652",1242351,D,11.08,D,Common Stock,F,12/19/2019
,"1,500",811808,I,,,Common Stock,,
,"4,109",811808,I,,,Common Stock,,
"2,882","87,250",811808,D,27.35,D,Common Stock,S,12/20/2019
34.3274,"4,941.36",1081716,D,17.0237,A,,P,12/13/2019
"1,774.57","6,715.93",1081716,D,17.6099,A,,P,12/19/2019
,"807,530",1081716,I,,,,,
639,639,94344,D,0,A,Common Stock,A,12/20/2019
"3,700","52,517",1254073,I,1.5224,A,Common Stock,P,12/18/2019
900,"53,417",1254073,I,1.52,A,Common Stock,P,12/18/2019
"5,300","58,717",1254073,I,1.54,A,Common Stock,P,12/18/2019
"1,000","59,717",1254073,I,1.49,A,Common Stock,P,12/19/2019
"4,400","64,117",1254073,I,1.493,A,Common Stock,P,12/19/2019
"12,951","77,068",1254073,I,1.5,A,Common Stock,P,12/19/2019
,"440,000",1254073,I,,,Common Stock,,
,"20,500",1254073,I,,,Common Stock,,
,"2,481",1710919,I,,,Common Stock,,
"1,324","12,064",1710919,D,20.95,A,Common Stock,A,12/20/2019
"25,588",0,1193798,D,,D,Common Stock,D,12/18/2019
"2,000","2,000",1285613,D,21.0402,A,Class A Common Stock,P,12/6/2019
"4,514","44,904",1050825,D,21.91,D,Class A Common Stock,S,12/20/2019
"10,000","688,709",900729,I,120.0072,D,,S,12/20/2019
,"154,091",900729,D,,,,,
41,"61,534",1402436,I,60.97,A,Common Stock,P,12/19/2019
"25,000","77,026",88205,D,12.36,A,Common Stock,M,12/20/2019
"25,000","52,026",88205,D,50.94,D,Common Stock,S,12/20/2019
,"1,357",88205,I,,,Common Stock,,
306,"50,104",1353283,D,150,D,Common Stock,S,12/19/2019
"9,586.72","20,211.93",1038255,I,15,A,,P,12/20/2019
,"11,251.25",1038255,D,,,,,
,"18,635.15",1038255,I,,,,,
"1,025,454","1,236,147.07",92122,D,41.28,A,Southern Company Common Stock,M,12/19/2019
"831,700","404,447.07",92122,D,62.99,D,Southern Company Common Stock,S,12/19/2019
"714,297","1,118,744.07",92122,D,44.06,A,Southern Company Common Stock,M,12/19/2019
"637,454","481,290.07",92122,D,62.99,D,Southern Company Common Stock,S,12/19/2019
"597,345","1,078,635.07",92122,D,44.42,A,Southern Company Common Stock,M,12/19/2019
"597,345","481,290.07",92122,D,62.99,D,Southern Company Common Stock,S,12/19/2019
,"11,713.90",92122,I,,,Southern Company Common Stock,,
22.7529,42,1090009,D,43.95,A,Common Stock,P,12/18/2019
"1,315","578,336.54",1077961,D,0,D,Common Shares,G,9/13/2019
"1,315","22,310.89",1077961,I,0,A,Common Shares,G,9/13/2019
,"72,093",1077961,I,,,Common Shares,,
,"102,765.83",1077961,I,,,Common Shares,,
,"477,798",1077961,I,,,Common Shares,,
,"477,798",1077961,I,,,Common Shares,,
600,"647,115",1105078,D,0,D,Common Shares,G,12/17/2019
600,"646,515",1105078,D,0,D,Common Shares,G,12/17/2019
600,"96,517.29",1105078,I,0,A,Common Shares,G,12/17/2019
"3,480,969","15,321,635",1693908,D,0.75,A,COMMON STOCK,A,12/20/2019
,"4,847,226",1693908,I,,,COMMON STOCK,,
,"24,976.92",1105078,I,,,Common Shares,,
,"477,796",1105078,I,,,Common Shares,,
,"100,000",1105078,I,,,Common Shares,,
,"477,798",1105078,I,,,Common Shares,,
,"477,798",1105078,I,,,Common Shares,,
"18,773","303,762",1284323,D,0,D,Common Stock,G,12/20/2019
,"18,773",1284323,I,,,Common Stock,,
"1,875","601,939",1032553,D,40.949,D,Common Stock,S,12/18/2019
"1,875","600,064",1032553,D,41.561,D,Common Stock,S,12/19/2019
"2,000","189,932",1079218,D,7.0365,A,,P,12/18/2019
"1,368","191,300",1079218,D,6.9697,A,,P,12/19/2019
"1,657","192,957",1079218,D,6.9862,A,,P,12/20/2019
"7,500","325,774",1219402,D,21.37,D,Common Stock,S,12/18/2019
,7/13/2012,318673,4/13/2022,,"4,221",Employee Stock Option (right to buy),,1.09
,3/6/2014,318673,12/6/2023,,"4,020",Employee Stock Option (right to buy),,3.56
,10/24/2014,318673,7/2/2024,,"3,829",Employee Stock Option (right to buy),,3.34
,3/5/2015,318673,12/5/2024,,"7,658",Employee Stock Option (right to buy),,3.89
,3/4/2016,318673,12/4/2025,,"12,155",Employee Stock Option (right to buy),,5.47
,3/2/2017,318673,12/2/2026,,"5,789",Employee Stock Option (right to buy),,6.03
,3/1/2018,318673,12/1/2027,,"11,025",Employee Stock Option (right to buy),,4.56
,3/6/2020,318673,12/6/2029,,"10,000",Employee Stock Option (right to buy),,5.46
"1,177","23,776",318673,D,5.24,D,Class A Common Stock,G,11/21/2019
"3,764","7,805",1428875,D,0,A,Common Stock,M,12/19/2019
"1,472","6,333",1428875,D,38.1865,D,Common Stock,F,12/20/2019
"8,000","15,776",318673,D,6.03,D,Class A Common Stock,G,12/17/2019
"12,763","156,645",318673,D,3.89,A,Class A Common Stock,M,12/6/2019
"9,093","147,552",318673,D,5.46,D,Class A Common Stock,F,12/6/2019
"9,239","256,360",1012100,D,40,D,Common Stock,S,12/19/2019
,"6,553",1012100,I,,,Common Stock,,
"58,140","235,351",1019671,D,0,A,Common Stock,A,12/18/2019
"90,000","207,287",1431322,D,3.42,A,Common Stock,M,12/18/2019
"96,922","304,209",1431322,D,7.95,A,Common Stock,M,12/18/2019
"64,124","368,333",1431322,D,2.51,A,Common Stock,M,12/18/2019
"100,000","468,333",1431322,D,1.79,A,Common Stock,M,12/18/2019
"178,495","289,838",1431322,D,20.11,D,Common Stock,F,12/18/2019
79.9944,"3,997.29",1271302,D,35.94,A,ACNB Corporation Common,A,12/13/2019
,"5,100",1271302,I,,,ACNB Corporation Common,,
"196,000","74,996,921",923738,I,0,D,Common Stock,G,12/19/2019
,"44,025",923738,I,,,Common Stock,,
,"32,609,941",923738,I,,,Common Stock,,
,"16,073,345.33",923738,I,,,Common Stock,,
"509,331",0,922612,D,3.25,D,Common Stock,S,12/17/2019
"15,000","30,009",1773184,D,2.52,A,Common Stock,M,12/18/2019
"7,706","22,303",1773184,D,20.11,D,Common Stock,F,12/18/2019
"5,000","119,101",1228532,D,98,D,Common Stock,S,12/20/2019
"16,665","104,955",1383828,D,7.227,D,,S,12/19/2019
,"7,000",1383828,I,,,,,
,132,1383828,I,,,,,
"22,681","30,270,029",1108524,D,162.0488,D,Common Stock,S,12/18/2019
,"13,918",767405,D,,,COMMON STOCK,,
,"11,679",767405,I,,,COMMON STOCK,,
"5,000","31,162",767405,D,6.98,A,COMMON STOCK,M,12/17/2019
,"10,538",767405,D,,,COMMON STOCK,,
"21,229","30,248,800",1108524,D,162.9022,D,Common Stock,S,12/18/2019
"1,862","30,246,938",1108524,D,161.4953,D,Common Stock,S,12/19/2019
"3,138","30,243,800",1108524,D,162.7227,D,Common Stock,S,12/19/2019
"3,477","30,240,323",1108524,D,164.4141,D,Common Stock,S,12/20/2019
"1,523","30,238,800",1108524,D,164.7961,D,Common Stock,S,12/20/2019
"175,478","3,611,361",1477067,D,0,D,,D,12/18/2019
"3,611,361",0,1477067,D,0,D,,J,12/18/2019
"9,635","168,620",1050606,D,1.45,A,Class A Common Stock,P,12/19/2019
"9,635","178,255",1050606,D,1.43,A,Class A Common Stock,P,12/20/2019
,"25,000",1050606,I,,,Class A Common Stock,,
,"3,499,324",1050606,I,,,Class A Common Stock,,
,"1,090,078",1050606,I,,,Class A Common Stock,,
"80,000","278,737",1701121,D,1.25,A,Common Stock,P,12/19/2019
"9,231","27,287",1540041,D,105.06,D,Common Stock,S,12/19/2019
"15,885","11,402",1540041,D,105.0174,D,Common Stock,S,12/19/2019
,"3,796.39",1653384,D,,,,,
"9,586.72","20,211.93",1653384,I,15,A,,P,12/20/2019
"2,157,011.48","13,743,840.67",1653384,D,15,A,,P,12/20/2019
"1,250","167,156",1654450,D,,A,Common Stock,M,12/18/2019
356,"166,800",1654450,D,1.81,D,Common Stock,F,12/18/2019
"20,000","403,619",1443849,D,1.25,A,Common Stock,P,12/19/2019
"3,099","186,752",1356771,D,69.83,D,Common Stock,F,12/19/2019
"3,200","11,350",1746421,D,0,A,Common Stock 15346Q 400,A,12/18/2019
"75,000","170,000",1545202,I,1.43,A,Class B Common Shares,C,12/18/2019
"251,489","672,407",1545202,I,1.43,A,Class A Common Shares,C,12/18/2019
,"9,000",1545202,D,,,Class A Common Shares,,
"6,728",268,1366580,D,149.8,D,Class A Common Stock,S,12/19/2019
,"21,732",1366580,D,,,Class A Common - Performance Share Units,,
,"8,449",1366580,D,,,Class A Common - Restricted Stock Units,,
,"4,266",1366580,I,,,Class A Common Stock,,
"7,000","439,674",1616262,D,8.82,D,Common,G,12/17/2019
,"44,759",1616262,I,,,Common,,
"36,919,967","37,404,967",1635088,D,10,A,,J,12/18/2019
333,"2,333",1616262,D,0,A,Common,A,8/28/2019
335,"2,668",1616262,D,0,A,Common,A,8/30/2019
"1,435","4,103",1616262,D,0,A,Common,A,12/20/2019
101,"16,970",1697536,D,7.46,D,Common Stock,F,12/18/2019
851,"62,449",1773027,D,12.93,D,Common Stock,F,12/18/2019
"4,000","152,789",1335704,D,0,D,Common Stock,G,12/4/2019
211,"19,535",1384905,D,166.39,D,Class A Common Stock,S,12/18/2019
100,"19,435",1384905,D,167.39,D,Class A Common Stock,S,12/18/2019
100,"19,335",1384905,D,168.59,D,Class A Common Stock,S,12/18/2019
"20,000","25,000",1063537,D,1.25,A,Common Stock,P,12/19/2019
"80,000","215,232",1063537,D,1.25,A,Common Stock,P,12/19/2019
"16,000","139,767",1063537,D,1.25,A,Common Stock,P,12/19/2019
"3,200,000","10,649,068",1063537,D,1.25,A,Common Stock,P,12/19/2019
"34,640","40,190",1788632,D,0,A,Common Stock,A,12/18/2019
"10,000","10,000",1393945,D,1.6,A,Common Stock,P,12/19/2019
"2,035","2,035",1306860,D,0,A,Common Stock,A,12/18/2019
"1,163","77,369",1222650,D,24.21,A,Common Stock,A,12/18/2019
"2,500","22,070",882835,D,73.56,A,Common Stock,M,12/19/2019
"2,500","19,570",882835,D,352.4633,D,Common Stock,S,12/19/2019
,145,882835,I,,,Common Stock,,
"423,788","662,623",1250105,D,2.2,A,Common Stock,P,12/20/2019
159.9889,"11,256.65",1271301,D,35.94,A,ACNB Corporation Common,A,12/13/2019
,"3,322.88",1271301,I,,,ACNB Corporation Common,,
"7,797","25,299",1687221,D,0,A,Restricted Stock Unit,A,12/18/2019
"2,300","6,618",1528849,D,0,D,Common Stock,G,12/19/2019
"29,240","94,137",1687221,D,0,A,Common Stock,A,12/18/2019
"7,797","19,713",1687221,D,0,A,Restricted Stock Unit,A,12/18/2019
"48,536","153,061",1687221,D,0,A,Common Stock,A,12/18/2019
"26,900","67,540",1687221,D,0,A,Common Stock,A,12/18/2019
"11,779","99,094",1240439,D,0,D,Common Stock,G,12/19/2019
,989,1240439,I,,,Common Stock,,
"47,652","143,835",930236,D,16.64,A,Common Stock,M,12/20/2019
"46,622",0,938683,D,,D,Common Stock,D,12/20/2019
"225,000","934,387",1436861,D,3.42,A,Common Stock,M,12/18/2019
"302,422","1,236,809",1436861,D,7.95,A,Common Stock,M,12/18/2019
"285,075","1,521,884",1436861,D,6.7,A,Common Stock,M,12/18/2019
"360,000","1,881,884",1436861,D,1.79,A,Common Stock,M,12/18/2019
"646,639","1,235,245",1436861,D,20.11,D,Common Stock,F,12/18/2019
"6,600","51,360",1503274,D,2.28,A,Common Stock,M,12/18/2019
"130,018",0,1481326,D,,D,Common Stock,D,12/20/2019
"1,901","38,338",1036188,D,51.05,D,Class A Common Stock,F,12/19/2019
79.9944,"4,047.29",1350905,D,35.94,A,ACNB Corporation Common,A,12/13/2019
"1,650","1,650",1481798,I,0,A,Common Stock 15346Q 400,A,12/18/2019
,"531,299",1481798,I,,,Common Stock 15346Q 400,,
,"5,473",1534753,D,,,Class A Common Stock,,
,"91,232",1534753,D,,,Class C Capital Stock,,
"23,002","23,002",1534753,D,0,A,Class C Google Stock Units,A,12/19/2019
"92,005","92,005",1534753,D,0,A,Class C Google Stock Units,A,12/19/2019
,"17,083",1534753,D,,,Class C Google Stock Units,,
206,"45,075",1596282,D,26.02,D,Common Units,F,12/20/2019
477,"66,357",1338943,D,20.95,A,Common Stock,A,12/20/2019
,300,1338943,I,,,Common Stock,,
,"2,481",1338943,I,,,Common Stock,,
,"6,846,064",1535326,I,,,Common Stock,,
"5,915","5,915",1535326,D,35.75,A,Common Stock,M,12/19/2019
"5,915",0,1535326,D,70.0136,D,Common Stock,S,12/19/2019
"15,000","27,737,464",1507610,D,0.2899,A,Common Stock,P,12/18/2019
"18,000","27,737,464",1507610,D,0.292,A,Common Stock,P,12/20/2019
"5,000","263,920",1745916,I,33.74,D,Common Stock,S,12/18/2019
"5,000","258,920",1745916,I,33.85,D,Common Stock,S,12/19/2019
,"12,074",1745916,D,,,Common Stock,,
"1,750","292,926",1636286,I,30.6396,D,Common Shares,S,12/18/2019
"2,000","290,926",1636286,I,30.6266,D,Common Shares,S,12/18/2019
159.9889,"3,776.72",1563113,D,35.94,A,ACNB Corporation Common,A,12/13/2019
500,"524,754",56868,D,151.16,D,,S,12/19/2019
500,"524,254",56868,D,151.5,D,,S,12/19/2019
500,"523,754",56868,D,151.29,D,,S,12/19/2019
250,250,1357874,D,12.09,A,Common Stock,P,12/19/2019
"2,235","2,485",1357874,D,12.08,A,Common Stock,P,12/19/2019
100,"34,821",784011,I,90.75,A,Limited Partnership Units,P,12/18/2019
,,1214130,6/19/2029,,"137,617",Stock Option (right to buy),,7.86
,,1214130,7/28/2029,,893,Stock Option (right to buy),,7.86
,,1214130,10/20/2029,,"11,488",Stock Option (right to buy),,8.43
,,1214130,11/19/2029,,"3,765",Stock Option (right to buy),,8.43
"1,709","180,447",56868,D,152.69,D,,S,12/18/2019
600,"35,421",784011,I,91.96,A,Limited Partnership Units,P,12/18/2019
600,"36,021",784011,I,94.39,A,Limited Partnership Units,P,12/19/2019
,"2,836",784011,I,,,Limited Partnership Units,,
,"28,911",784011,I,,,Limited Partnership Units,,
,"188,648",784011,I,,,Limited Partnership Units,,
,"6,521",784011,I,,,Limited Partnership Units,,
,170,784011,I,,,Limited Partnership Units,,
,600,784011,I,,,Limited Partnership Units,,
,"147,652",784011,D,,,Limited Partnership Units,,
"2,917","499,679",833640,I,97.2749,D,Common Stock,S,12/20/2019
,"102,842",784011,I,,,Limited Partnership Units,,
,"21,879",784011,I,,,Limited Partnership Units,,
,"23,641",1626115,I,,,Class A Common Stock,,
"3,616","24,206",1626115,D,0,D,Class A Common Stock,G,10/31/2019
599,"38,738",1190987,D,3.05,D,Common Stock,S,12/18/2019
"18,738","20,000",1190987,D,3.0863,D,Common Stock,S,12/19/2019
