Amount,AmountOfSecurityOwned,CIK,OwnershipForm,Price,SecuritiesAcquirednDisposed,TitleOfSecurity,TransactionCode,TransactionDate
"5,000","260,449",1157617,D,0,D,,G,12/18/2019
"25,306","335,845.77",1537539,D,0,A,Common Stock,A,12/18/2019
"12,393","323,452.77",1537539,D,7.83,D,Common Stock,F,12/18/2019
"27,500","1,498,707",1767385,D,0.14,A,Common Stock,P,12/16/2019
"7,500","1,506,207",1767385,D,0.11,A,Common Stock,P,12/16/2019
"119,047","232,144",1687130,D,0,A,Common Stock,A,12/18/2019
"24,800","443,690",1207371,D,116.18,D,Common Stock,S,12/18/2019
200,"443,490",1207371,D,116.89,D,Common Stock,S,12/18/2019
"2,222","341,858",1207371,I,0,D,Common Stock,G,12/19/2019
"208,333","475,734",1687132,D,0,A,Common Stock,A,12/18/2019
,"5,842,700",1687132,I,,,Common Stock,,
10,"4,111",1703809,D,0,A,COMMON STOCK,A,12/20/2019
6,"4,117",1703809,D,0,A,COMMON STOCK,A,12/20/2019
"10,000","49,441",1612111,D,0,A,Common Stock,M,12/20/2019
"2,586","46,855",1612111,D,13.12,D,Common Stock,F,12/20/2019
"245,481","940,442",791908,D,22,A,,X,12/18/2019
"190,899","937,353",791908,D,22,A,,X,12/18/2019
"35,888","159,537",791908,D,22,A,,X,12/18/2019
"207,234","1,147,676",791908,D,22,A,,P,12/19/2019
"165,961","1,103,314",791908,D,22,A,,P,12/19/2019
,"231,878",791908,I,,,,,
"60,086","149,434.84",1629935,D,0,A,Common Stock,A,12/18/2019
"29,425","120,009.84",1629935,D,7.83,D,Common Stock,F,12/18/2019
24,"17,939",1442500,D,0,A,COMMON STOCK,A,12/20/2019
387,"5,613",1741177,D,2.02,D,Common Stock,F,6/17/2019
79.9944,"9,826.14",1400138,D,35.94,A,ACNB Corporation Common,A,12/13/2019
"3,093","6,865",1764054,D,0,A,Class A Common Stock,A,12/19/2019
242,"56,701",1628529,D,2.73,D,Common Stock,F,12/19/2019
,"2,100",1628529,I,,,Common Stock,,
,"2,100",1628529,I,,,Common Stock,,
"4,000","146,468",1754480,D,37.7479,D,Common Stock,S,12/19/2019
"4,000","142,648",1754480,D,37.8832,D,Common Stock,S,12/20/2019
,"3,492",1754480,I,,,Common Stock,,
"6,582","234,251",1345871,D,69.83,D,Common Stock,F,12/19/2019
"30,786","259,044",1605194,D,18.06,D,Class A Shares,F,12/20/2019
500,"29,937",1157647,D,9.87,A,Common Stock,P,12/19/2019
,52,1157647,I,,,Common Stock,,
"2,237.05","9,407.05",1744489,D,146.0586,A,Disney Common Stock,M,12/19/2019
774.0471,"8,633",1744489,D,146.0586,D,Disney Common Stock,F,12/19/2019
"2,321","10,954",1744489,D,146.0586,A,Disney Common Stock,M,12/19/2019
813,"10,141",1744489,D,146.0586,D,Disney Common Stock,F,12/19/2019
,"13,962.71",1744489,I,,,Disney Common Stock,,
"2,753.98","102,788.98",1744489,D,146.0586,A,Disney Common Stock,M,12/19/2019
"1,366.98","101,422",1744489,D,146.0586,D,Disney Common Stock,F,12/19/2019
"3,413","104,835",1744489,D,146.0586,A,Disney Common Stock,M,12/19/2019
"1,693","103,142",1744489,D,146.0586,D,Disney Common Stock,F,12/19/2019
