AmountDer,AmountOfSecurityOwnedDer,CIKDer,ConversionExercisePrice,ExpirationDate,OwnershipFormDer,PriceDer,SecuritiesAcquired,SecuritiesDisposed,TitleOfSecurityDer,TitleofDerivativeSecurity,TransactionCodeDer,TransactionDateDer
"69,648",0,1481326,14.67,03/17/2025,D,,,"69,648",Common Stock,Stock Appreciation Rights,D,12/20/2019
"94,335",0,1481326,10.98,03/17/2026,D,,,"94,335",Common Stock,Stock Appreciation Rights,D,12/20/2019
"8,646","8,646",1534753,318.2102,04/04/2022,D,,,,Class A Common Stock,Option to Purchase Class A Common Stock (right to buy),,
"1,459","1,459",1534753,253.6664,08/04/2020,D,,,,Class A Common Stock,Option to Purchase Class A Common Stock (right to buy),,
"8,646","8,646",1534753,316.9399,04/04/2022,D,,,,Class C Capital Stock,Option to Purchase Class C Capital Stock (right to buy),,
"1,459","1,459",1534753,252.6537,08/04/2020,D,,,,Class C Capital Stock,Option to Purchase Class C Capital Stock (right to buy),,
"4,843","4,843",1338943,8.34,04/30/2019,D,,,,Common Stock,Stock Options (Right to Buy),,
"100,000","100,000",1771761,4.42,12/17/2029,D,0.00,"100,000",,Common Stock,Stock Option (Right to Buy),A,12/18/2019
"3,800","3,800",1535326,27.795,12/30/2020,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,27.795,12/30/2020,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,27.795,12/30/2020,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,27.795,12/30/2020,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,27.795,12/30/2020,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,23.605,12/30/2021,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,23.605,12/30/2021,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,23.605,12/30/2021,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,23.605,12/30/2021,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,23.605,12/30/2021,D,,,,Common Stock,Option-right to buy,,
"2,115",0,1535326,35.75,12/30/2019,D,0,,"2,115",Common Stock,Option-right to buy,M,12/19/2019
"3,800",0,1535326,35.75,12/30/2019,D,0,,"3,800",Common Stock,Option-right to buy,M,12/19/2019
"3,800","3,800",1535326,32.825,12/29/2022,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,32.825,12/29/2022,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,32.825,12/29/2022,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,32.825,12/29/2022,D,,,,Common Stock,Option-right to buy,,
"3,800","3,800",1535326,32.825,12/29/2022,D,,,,Common Stock,Option-right to buy,,
"5,000","5,000",1535326,43.8,12/28/2023,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",1535326,43.8,12/28/2023,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",1535326,43.8,12/28/2023,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",1535326,43.8,12/28/2023,I,,,,Common Stock,Option-right to buy,,
"15,882","15,882",1745916,21.03,06/12/2023,D,,,,Common Stock,Nonstatutory Stock Option (Right to Buy),,
"28,216","28,216",1745916,17.26,02/25/2024,D,,,,Common Stock,Nonstatutory Stock Option (Right to Buy),,
"23,829","23,829",1745916,17.52,03/02/2025,D,,,,Common Stock,Nonstatutory Stock Option (Right to Buy),,
"5,000","5,000",1535326,43.8,12/28/2023,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",1535326,65.25,12/30/2024,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",1535326,65.25,12/30/2024,I,,,,Common Stock,Option-right to buy,,
"27,771","27,771",1745916,11.28,03/06/2026,D,,,,Common Stock,Nonstatutory Stock Option (Right to Buy),,
"5,000","5,000",1535326,65.25,12/30/2024,I,,,,Common Stock,Option-right to buy,,
"22,506","22,506",1745916,18.05,03/05/2027,D,,,,Common Stock,Nonstatutory Stock Option (Right to Buy),,
"17,204","17,204",1745916,24.4,03/08/2028,D,,,,Common Stock,Nonstatutory Stock Option (Right to Buy),,
"5,000","5,000",1535326,65.25,12/30/2024,I,,,,Common Stock,Option-right to buy,,
"5,000","5,000",1535326,65.25,12/30/2024,I,,,,Common Stock,Option-right to buy,,
"77,181","77,181",1643071,8.43,11/19/2029,D,,"77,181",,Common Stock,Stock Option (right to buy),A,12/18/2019
"523,125","523,125",56868,1,,D,,,,common stock,purchase (right to buy) option,,
"174,375","174,375",56868,1.25,,D,,,,common stock,purchase (right to buy) option,,
117,"48,325",1195847,0.00,,D,0.00,117,,Common Stock,Restricted Stock Unit,A,12/20/2019
38,"32,703",1626115,,,D,0.00,38,,Class A Common Stock,Restricted Stock Units,A,12/18/2019
18,"16,369",1626115,,,D,0.00,18,,Class A Common Stock,Restricted Stock Units,A,12/18/2019
77,"67,973",1626115,,,D,0.00,77,,Class A Common Stock,Restricted Stock Units,A,12/18/2019
32,"28,301",1626115,,,D,0.00,32,,Class A Common Stock,Restricted Stock Units,A,12/18/2019
