AmountDer,AmountOfSecurityOwnedDer,CIKDer,ConversionExercisePrice,ExpirationDate,OwnershipFormDer,PriceDer,SecuritiesAcquired,SecuritiesDisposed,TitleOfSecurityDer,TitleofDerivativeSecurity,TransactionCodeDer,TransactionDateDer
"1,782","1,782",1565717,,,D,,,,Humana Common,Restricted Stock Units,,
513,513,1565717,,,D,,,,Humana Common,Restricted Stock Units,,
920,920,1565717,,,D,,,,Humana Common,Restricted Stock Units,,
527.0189,"1,053.0045",1621819,,,D,0.00,,527.0189,Common Stock,Restricted Stock Units,M,12/18/2019
789.979,789.979,1621819,,,D,,,,Common Stock,Restricted Stock Units,,
"1,200.7681","1,200.7681",1621819,,,D,,,,Common Stock,Restricted Stock Units,,
"1,689.6477","1,689.6477",1621819,,,D,,,,Common Stock,Restricted Stock Units,,
"2,729","2,729",1621819,,,D,,,,Common Stock,Restricted Stock Units,,
"3,243","3,243",1621819,18.48,11/19/2020,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"5,625","5,625",1621819,30.97,11/20/2021,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"7,826","7,826",1621819,21.52,11/12/2022,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"6,000","6,000",1621819,30.96,11/14/2023,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"4,076","4,076",1621819,44.87,12/18/2027,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"4,425","4,425",1621819,47.45,12/06/2028,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"3,006","3,006",1774167,,,D,0.00,"3,006",,Common Stock,Restricted Stock Units,A,12/18/2019
"20,000","20,000",1759411,,,D,0.00,"20,000",,Common Stock,Restricted Stock Units,A,12/18/2019
150,"7,050",1663763,30,02/23/2027,D,30,,150,Franklin Financial Services Corp,Franklin Financial Services Corp ISOP,X,12/20/2019
"5,000,000",0,1764013,11.5,,D,0.5,,"10,000,000",Common Stock,Warrants to purchase Common Stock,J,12/18/2019
"62,500","1,930,305",1692620,0.42,09/30/2024,D,0,"62,500",,Common Stock,Common Stock Purchase Warrants,P,09/30/2019
"2,954","2,956",1657355,587.13,09/27/2027,D,0.0000,,"2,954",Common Stock,Non-Qualified Stock Option (right to buy),M,12/19/2019
"2,100",0.0000,1657355,744.62,10/07/2025,D,0.0000,,"2,100",Common Stock,Non-Qualified Stock Option (right to buy),M,12/19/2019
"2,000","2,000",1770897,,,D,0,,"2,000",Common Stock,Restricted Stock Units,M,12/18/2019
"5,000","5,000",1453628,5.01,08/06/2020,D,,,,Common Stock,Stock Option (Right to Buy),,
"1,250,000","1,250,000",1430007,0.63,12/13/2029,D,0,"1,250,000",,Common Stock,Option,A,12/13/2019
"3,750","11,250",1704186,,,D,0,,"3,750",Common Shares,Restricted Share Unit Award,M,12/18/2019
"18,348","18,348",1788015,12.62,02/24/2025,D,0.00,"18,348",,Common Stock,,A,12/18/2019
"42,836","42,836",1788015,12.62,02/24/2025,D,0.00,"42,836",,Common Stock,,A,12/18/2019
"48,835","48,835",1788015,12.65,02/24/2026,D,0.00,"48,835",,Common Stock,,A,12/18/2019
"30,487","30,487",1788015,12.65,02/24/2026,D,0.00,"30,487",,Common Stock,,A,12/18/2019
"15,077","15,077",1788015,15.27,11/15/2026,D,0.00,"15,077",,Common Stock,,A,12/18/2019
"55,664","55,664",1788015,16.51,02/24/2027,D,0.00,"55,664",,Common Stock,,A,12/18/2019
"40,327","40,327",1788015,19.04,02/24/2028,D,0.00,"40,327",,Common Stock,,A,12/18/2019
"40,327","40,327",1788015,19.04,02/24/2028,D,0.00,"40,327",,Common Stock,,A,12/18/2019
"38,344","38,344",1788015,21.76,02/24/2029,D,0.00,"38,344",,Common Stock,,A,12/18/2019
"38,344","38,344",1788015,21.76,02/24/2029,D,0.00,"38,344",,Common Stock,,A,12/18/2019
"8,276",0,1346153,0.0,,D,,,"8,276",Common Stock,Restricted Stock Units,D,12/20/2019
813,"13,955",1782944,0.0,,D,0.0,,813,Common Stock,Restricted Stock Units,M,12/19/2019
"3,750","8,652,839",1517413,,,D,0,,"3,750",Class A Common Stock,Class B Common Stock,C,12/19/2019
"1,700,000","1,700,000",1517413,,,I,,,,Class A Common Stock,Class B Common Stock,,
"800,000","800,000",1517413,,,I,,,,Class A Common Stock,Class B Common Stock,,
"18,000","18,000",1774663,3.4,12/18/2029,D,0,"18,000",,Common Stock,Stock Option (Right to Buy),A,12/18/2019
196,"8,789",1530249,16.89,05/08/2024,D,0,,196,Common Stock,Stock Option (Right to Buy),M,12/18/2019
191,"8,598",1530249,16.89,05/08/2024,D,0,,191,Common Stock,Stock Option (Right to Buy),M,12/20/2019
"19,464",0,1233101,0.0,,D,,,"19,464",Common Stock,Restricted Stock Units,D,12/20/2019
"78,278",0,1233101,0.0,,D,,,"78,278",Common Stock,Restricted Stock Units,D,12/20/2019
"161,613",0,1233101,0.0,,D,,,"161,613",Common Stock,Restricted Stock Units,D,12/20/2019
"6,887",0,1233101,0.0,,D,,,"6,887",Common Stock,Performance Share Units,D,12/20/2019
"13,911",0,1233101,0.0,,D,,,"13,911",Common Stock,Performance Share Units,D,12/20/2019
"19,230",0,1233101,0.0,,D,,,"19,230",Common Stock,Performance Share Units,D,12/20/2019
"58,410",0,1233101,27.295,03/17/2021,D,,,"58,410",Common Stock,Stock Appreciation Rights,D,12/20/2019
"50,408",0,1233101,26.94,03/23/2022,D,,,"50,408",Common Stock,Stock Appreciation Rights,D,12/20/2019
"83,970",0,1233101,14.67,03/17/2025,D,,,"83,970",Common Stock,Stock Appreciation Rights,D,12/20/2019
"113,751",0,1233101,10.98,03/17/2026,D,,,"113,751",Common Stock,Stock Appreciation Rights,D,12/20/2019
"4,914","4,914",1788001,12.62,02/24/2025,D,0.00,"4,914",,Common Stock,,A,12/18/2019
"14,654","14,654",1788001,12.65,02/24/2026,D,0.00,"14,654",,Common Stock,,A,12/18/2019
"20,033","20,033",1788001,16.51,02/24/2027,D,0.00,"20,033",,Common Stock,,A,12/18/2019
"32,240","32,240",1788001,19.04,02/24/2028,D,0.00,"32,240",,Common Stock,,A,12/18/2019
"40,327","40,327",1788001,19.04,02/24/2028,D,0.00,"40,327",,Common Stock,,A,12/18/2019
"38,344","38,344",1788001,21.76,02/24/2029,D,0.00,"38,344",,Common Stock,,A,12/18/2019
"38,344","38,344",1788001,21.76,02/24/2029,D,0.00,"38,344",,Common Stock,,A,12/18/2019
"36,701","36,701",1757073,12.62,02/24/2025,D,0.00,"36,701",,Common Stock,,A,12/18/2019
"101,636","101,636",1757073,12.65,02/24/2026,D,0.00,"101,636",,Common Stock,,A,12/18/2019
"200,904","200,904",1757073,15.27,11/15/2026,D,0.00,"200,904",,Common Stock,,A,12/18/2019
"155,778","155,778",1757073,16.51,02/24/2027,D,0.00,"155,778",,Common Stock,,A,12/18/2019
"112,790","112,790",1757073,19.04,02/24/2028,D,0.00,"112,790",,Common Stock,,A,12/18/2019
"161,151","161,151",1757073,19.04,02/24/2028,D,0.00,"161,151",,Common Stock,,A,12/18/2019
"238,936","238,936",1757073,19.02,07/15/2028,D,0.00,"238,936",,Common Stock,,A,12/18/2019
"107,260","107,260",1757073,21.76,02/24/2029,D,0.00,"107,260",,Common Stock,,A,12/18/2019
"6,740","6,740",1757073,12.62,02/24/2025,D,0.00,"6,740",,Common Stock,,A,12/18/2019
"2,467","2,467",1757073,12.62,02/24/2025,D,0.00,"2,467",,Common Stock,,A,12/18/2019
"14,654","14,654",1757073,12.65,02/24/2026,D,0.00,"14,654",,Common Stock,,A,12/18/2019
"20,033","20,033",1757073,16.51,02/24/2027,D,0.00,"20,033",,Common Stock,,A,12/18/2019
"19,365","19,365",1757073,19.04,02/24/2028,D,0.00,"19,365",,Common Stock,,A,12/18/2019
"32,261","32,261",1757073,19.04,02/24/2028,D,0.00,"32,261",,Common Stock,,A,12/18/2019
"44,448","44,448",1757073,21.76,02/24/2029,D,0.00,"44,448",,Common Stock,,A,12/18/2019
"38,344","38,344",1757073,21.76,02/24/2029,D,0.00,"38,344",,Common Stock,,A,12/18/2019
"3,700","11,100",1704255,,,D,0,,"3,700",Common Shares,Restricted Share Unit Award,M,12/18/2019
"9,620","9,620",1124140,,,D,0.00,"9,620",,Common Stock,Restricted Stock Units,A,12/18/2019
"10,000","26,000",1337619,9,07/28/2020,D,0,,"10,000",Common Stock,Employee Stock Option (Right to Buy),M,12/18/2019
45,"18,892",1580601,0.00,,D,0.00,45,,Common Stock,Restricted Stock Unit,A,12/20/2019
"5,161",0.00,1207383,9.79,12/19/2019,D,0.00,,"5,161",Common Stock,Stock Option,M,12/19/2019
"150,000","150,000",1439598,6.34,12/18/2029,D,0,"150,000",,Ordinary Shares,Stock Option (right to buy),A,12/18/2019
"1,018,275","10,976,630",1535527,,,I,0.00,,"1,018,275",Class A Common Stock,Class B Common Stock,C,12/18/2019
"17,832","10,958,798",1535527,,,I,0.00,,"17,832",Class A Common Stock,Class B Common Stock,C,12/19/2019
"8,133,626","8,133,626",1535527,,,I,,,,Class A Common Stock,Class B Common Stock,,
"10,950","32,850",1704317,,,D,0,,"10,950",Common Shares,Restricted Share Unit Award,M,12/18/2019
"3,000","9,000",1704256,,,D,0,,"3,000",Common Shares,Restricted Share Unit Award,M,12/18/2019
"1,683","22,854",1778031,0.0,,D,0.0,,"1,683",Common Stock,Restricted Stock Units,M,12/19/2019
"4,424",0,1617609,0.0,,D,,,"4,424",Common Stock,Restricted Stock Units,D,12/20/2019
"16,750",0,1617609,0.0,,D,,,"16,750",Common Stock,Restricted Stock Units,D,12/20/2019
"34,572",0,1617609,0.0,,D,,,"34,572",Common Stock,Restricted Stock Units,D,12/20/2019
"1,566",0,1617609,0.0,,D,,,"1,566",Common Stock,Performance Share Units,D,12/20/2019
"2,977",0,1617609,0.0,,D,,,"2,977",Common Stock,Performance Share Units,D,12/20/2019
"4,114",0,1617609,0.0,,D,,,"4,114",Common Stock,Performance Share Units,D,12/20/2019
"11,406",0,1617609,27.295,03/17/2021,D,,,"11,406",Common Stock,Stock Appreciation Rights,D,12/20/2019
"11,458",0,1617609,26.94,03/23/2022,D,,,"11,458",Common Stock,Stock Appreciation Rights,D,12/20/2019
"17,967",0,1617609,14.67,03/17/2025,D,,,"17,967",Common Stock,Stock Appreciation Rights,D,12/20/2019
"19,961","19,961",1617609,15.59,03/17/2021,D,,"19,961",,Common Stock,Stock Appreciation Rights,A,12/20/2019
"20,051","40,012",1617609,15.39,03/23/2022,D,,"20,051",,Common Stock,Stock Appreciation Rights,A,12/20/2019
"24,336",0,1617609,10.98,03/17/2026,D,,,"24,336",Common Stock,Stock Appreciation Rights,D,12/20/2019
"31,442","71,454",1617609,8.38,03/17/2025,D,,"31,442",,Common Stock,Stock Appreciation Rights,A,12/20/2019
"42,588","114,042",1617609,6.27,03/17/2026,D,,"42,588",,Common Stock,Stock Appreciation Rights,A,12/20/2019
"41,000","41,000",1774648,3.4,12/18/2029,D,0,"41,000",,Common Stock,Stock Option (Right to Buy),A,12/18/2019
"9,431",0,1319960,0.0,,D,,,"9,431",Common Stock,Restricted Stock Units,D,12/20/2019
"72,500","72,500",1329010,3.4,12/18/2029,D,0,"72,500",,Common Stock,Stock Option (Right to Buy),A,12/18/2019
"75,000",0,47307,1.43,12/31/2019,I,0.00,,"75,000",Class B Common Shares,Convertible Loan Agreement,C,12/18/2019
"251,489",0,47307,1.43,12/31/2019,I,0.00,,"251,489",Class A Common Shares,Convertible Loan Agreement,C,12/18/2019
74.11,"11,065.04",1766932,0.0,03/01/2022,D,0,74.11,,Common Stock,Restricted Stock Units,A,12/18/2019
49.11,"7,332.23",1766932,0.0,04/04/2022,D,0,49.11,,Common Stock,Restricted Stock Units,A,12/18/2019
"15,000","15,000",1758714,,,D,0.00,"15,000",,Common Stock,Restricted Stock Units,A,12/18/2019
"4,000","8,000",1758714,,,D,0.00,,"4,000",Common Stock,Restricted Stock Units,M,12/19/2019
"20,000","20,000",1758714,,,D,,,,Common Stock,Restricted Stock Units,,
"9,000","9,000",1758714,,,D,,,,Common Stock,Restricted Stock Units,,
625,"1,875",1689813,,,D,0,,625,Common Shares,Restricted Share Unit Award,M,12/18/2019
"2,089","25,383",1777939,0.0,,D,0.0,,"2,089",Common Stock,Restricted Stock Units,M,12/19/2019
"54,500","54,500",1633070,3.4,12/18/2029,D,0,"54,500",,Common Stock,Stock Option (Right to Buy),A,12/18/2019
"66,801","66,801",1633070,,,D,0,"66,801",,Common Stock,Restricted Stock Units,A,12/18/2019
"1,075",0,1654337,,,D,0.00,,"1,075",Common Stock,Restricted Stock Units,M,12/18/2019
"20,000","20,000",1584754,,,D,0.00,"20,000",,Common Stock,Restricted Stock Units,A,12/18/2019
